label,dim,cf,cp,cr,af,ap,ar,tok_f,gt,tt,A,B,C,D,ppr
A_prob_only,28,0.3977,0.2945,0.6124,0.5358,0.5826,0.496,0.3967,0.6,0.15,187,190,134,745,0.3676
B_emb_only,2304,0.4217,0.3103,0.6577,0.5718,0.5845,0.5597,0.4205,0.6,0.1,211,166,150,729,0.3749
C_emb_prob_no_sm,2332,0.4343,0.3316,0.6291,0.5665,0.6149,0.5252,0.4334,0.65,0.15,198,179,124,755,0.3348
D_sm_only,4,0.4514,0.318,0.7774,0.6327,0.5525,0.7401,0.4499,0.4,0.1,279,98,226,653,0.4349
E_full,2348,0.4404,0.3269,0.6747,0.6121,0.6196,0.6048,0.4396,0.55,0.15,228,149,140,739,0.3649
raw_t020_baseline,0,0.3896,0.2655,0.731,0.5426,0.4055,0.8196,0.3864,0.2,0.2,309,68,453,426,0.4858
