threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.33,0.3053,0.385,0.3405,0.3046,0.4024,0.3467,62074.0,81994.0,24977.0,0.4668,0.5782,0.5166,5838.0,13283.0,9327.0,58259.0,0.1749,0.2205,218,159,249,630,LR,0.33,0.33
0.33,0.3155,0.3244,0.3199,0.3144,0.3437,0.3284,62074.0,67859.0,21336.0,0.4798,0.5358,0.5063,4920.0,10672.0,10245.0,60870.0,0.1749,0.1798,202,175,219,660,LR,0.33,0.35
0.33,0.3262,0.266,0.2931,0.3243,0.2853,0.3035,62074.0,54612.0,17709.0,0.4974,0.4987,0.498,4034.0,8331.0,11131.0,63211.0,0.1749,0.1426,188,189,190,689,LR,0.33,0.37
0.33,0.3427,0.2134,0.263,0.3389,0.2299,0.274,62074.0,42105.0,14271.0,0.5174,0.435,0.4726,3236.0,6208.0,11929.0,65334.0,0.1749,0.1089,164,213,153,726,LR,0.33,0.39
0.35,0.2351,0.8688,0.3701,0.2376,0.865,0.3728,62074.0,225933.0,53691.0,0.4427,0.809,0.5722,13176.0,42866.0,1989.0,28676.0,0.1749,0.6463,305,72,384,495,LR,0.35,0.05
0.35,0.2447,0.8402,0.379,0.2472,0.8364,0.3816,62074.0,210025.0,51918.0,0.4427,0.809,0.5722,12742.0,39330.0,2423.0,32212.0,0.1749,0.6006,305,72,384,495,LR,0.35,0.07
0.35,0.2518,0.8136,0.3846,0.2546,0.81,0.3874,62074.0,197484.0,50278.0,0.4444,0.8064,0.573,12338.0,36654.0,2827.0,34888.0,0.1749,0.565,304,73,380,499,LR,0.35,0.09
0.35,0.2576,0.7908,0.3886,0.2606,0.7874,0.3916,62074.0,187574.0,48877.0,0.4459,0.7878,0.5695,11992.0,34568.0,3173.0,36974.0,0.1749,0.537,297,80,369,510,LR,0.35,0.11
0.35,0.2615,0.7668,0.39,0.2645,0.7639,0.3929,62074.0,179312.0,47421.0,0.455,0.7772,0.5739,11629.0,32837.0,3536.0,38705.0,0.1749,0.5128,293,84,351,528,LR,0.35,0.13
0.35,0.2649,0.7448,0.3908,0.2678,0.742,0.3936,62074.0,171982.0,46057.0,0.4627,0.756,0.574,11295.0,31345.0,3870.0,40197.0,0.1749,0.4918,285,92,331,548,LR,0.35,0.15
0.35,0.268,0.7219,0.3909,0.2713,0.721,0.3943,62074.0,164931.0,44754.0,0.4635,0.7401,0.57,10948.0,29906.0,4217.0,41636.0,0.1749,0.4712,279,98,323,556,LR,0.35,0.17
0.35,0.2721,0.6991,0.3917,0.2752,0.6984,0.3948,62074.0,157547.0,43353.0,0.4722,0.7215,0.5708,10602.0,28367.0,4563.0,43175.0,0.1749,0.4494,272,105,304,575,LR,0.35,0.19
0.35,0.275,0.6701,0.3899,0.2778,0.6709,0.393,62074.0,149891.0,41646.0,0.4758,0.7056,0.5684,10162.0,26796.0,5003.0,44746.0,0.1749,0.4262,266,111,293,586,LR,0.35,0.21
0.35,0.2778,0.635,0.3865,0.2805,0.6376,0.3896,62074.0,141113.0,39580.0,0.4775,0.6764,0.5598,9630.0,25040.0,5535.0,46502.0,0.1749,0.3999,255,122,279,600,LR,0.35,0.23
0.35,0.2818,0.5955,0.3826,0.2847,0.6022,0.3866,62074.0,131301.0,37384.0,0.4738,0.6472,0.5471,9031.0,23013.0,6134.0,48529.0,0.1749,0.3696,244,133,271,608,LR,0.35,0.25
0.35,0.2863,0.5497,0.3765,0.2883,0.5596,0.3805,62074.0,120489.0,34734.0,0.4763,0.6393,0.5459,8336.0,20784.0,6829.0,50758.0,0.1749,0.3358,241,136,265,614,LR,0.35,0.27
0.35,0.2926,0.5013,0.3695,0.2942,0.5152,0.3745,62074.0,108694.0,31979.0,0.4726,0.618,0.5356,7602.0,18381.0,7563.0,53161.0,0.1749,0.2997,233,144,260,619,LR,0.35,0.29
0.35,0.2993,0.4443,0.3577,0.3002,0.4604,0.3634,62074.0,95219.0,28581.0,0.4706,0.5942,0.5252,6738.0,15776.0,8427.0,55766.0,0.1749,0.2597,224,153,252,627,LR,0.35,0.31
0.35,0.3059,0.3848,0.3409,0.3054,0.4022,0.3472,62074.0,81748.0,24964.0,0.4767,0.5703,0.5193,5836.0,13240.0,9329.0,58302.0,0.1749,0.22,215,162,236,643,LR,0.35,0.33
0.35,0.3157,0.3244,0.32,0.3147,0.3437,0.3286,62074.0,67798.0,21335.0,0.4855,0.5332,0.5082,4919.0,10662.0,10246.0,60880.0,0.1749,0.1797,201,176,213,666,LR,0.35,0.35
0.35,0.3263,0.266,0.2931,0.3244,0.2853,0.3036,62074.0,54590.0,17709.0,0.5027,0.4987,0.5007,4034.0,8327.0,11131.0,63215.0,0.1749,0.1426,188,189,186,693,LR,0.35,0.37
0.35,0.3427,0.2134,0.263,0.3389,0.2299,0.274,62074.0,42105.0,14271.0,0.5174,0.435,0.4726,3236.0,6208.0,11929.0,65334.0,0.1749,0.1089,164,213,153,726,LR,0.35,0.39
0.37,0.236,0.862,0.3705,0.2384,0.8581,0.3732,62074.0,223396.0,53267.0,0.4498,0.7958,0.5747,13072.0,42319.0,2093.0,29223.0,0.1749,0.6388,300,77,367,512,LR,0.37,0.05
0.37,0.2455,0.834,0.3793,0.2479,0.8301,0.3818,62074.0,207876.0,51528.0,0.4498,0.7958,0.5747,12648.0,38874.0,2517.0,32668.0,0.1749,0.5942,300,77,367,512,LR,0.37,0.07
0.37,0.2527,0.8078,0.385,0.2553,0.8042,0.3876,62074.0,195512.0,49922.0,0.4496,0.7931,0.5739,12250.0,36227.0,2915.0,35315.0,0.1749,0.5591,299,78,366,513,LR,0.37,0.09
0.37,0.2585,0.7851,0.3889,0.2614,0.7818,0.3918,62074.0,185655.0,48532.0,0.4515,0.7772,0.5712,11906.0,34154.0,3259.0,37388.0,0.1749,0.5312,293,84,356,523,LR,0.37,0.11
0.37,0.2625,0.7614,0.3904,0.2654,0.7586,0.3932,62074.0,177455.0,47092.0,0.4602,0.7666,0.5751,11546.0,32438.0,3619.0,39104.0,0.1749,0.5073,289,88,339,540,LR,0.37,0.13
0.37,0.2659,0.7395,0.3911,0.2688,0.7369,0.3939,62074.0,170176.0,45740.0,0.4683,0.7454,0.5752,11215.0,30965.0,3950.0,40577.0,0.1749,0.4865,281,96,319,560,LR,0.37,0.15
0.37,0.269,0.7174,0.3913,0.2723,0.7164,0.3946,62074.0,163297.0,44468.0,0.4693,0.7294,0.5711,10879.0,29559.0,4286.0,41983.0,0.1749,0.4664,275,102,311,568,LR,0.37,0.17
0.37,0.273,0.6949,0.392,0.2761,0.6942,0.395,62074.0,156092.0,43093.0,0.4786,0.7109,0.572,10538.0,28063.0,4627.0,43479.0,0.1749,0.4452,268,109,292,587,LR,0.37,0.19
0.37,0.2757,0.6661,0.39,0.2786,0.6672,0.3931,62074.0,148641.0,41417.0,0.4816,0.695,0.5689,10102.0,26540.0,5063.0,45002.0,0.1749,0.4226,262,115,282,597,LR,0.37,0.21
0.37,0.2784,0.6317,0.3865,0.2812,0.6343,0.3896,62074.0,140048.0,39375.0,0.4827,0.6658,0.5596,9579.0,24829.0,5586.0,46713.0,0.1749,0.3968,251,126,269,610,LR,0.37,0.23
0.37,0.2823,0.5926,0.3824,0.2852,0.5994,0.3865,62074.0,130460.0,37206.0,0.4791,0.6393,0.5477,8987.0,22849.0,6178.0,48693.0,0.1749,0.3672,241,136,262,617,LR,0.37,0.25
0.37,0.2866,0.5472,0.3762,0.2887,0.557,0.3803,62074.0,119768.0,34576.0,0.4818,0.6313,0.5465,8298.0,20655.0,6867.0,50887.0,0.1749,0.3339,238,139,256,623,LR,0.37,0.27
0.37,0.2928,0.4993,0.3691,0.2945,0.513,0.3742,62074.0,108128.0,31846.0,0.4772,0.6101,0.5355,7572.0,18287.0,7593.0,53255.0,0.1749,0.2982,230,147,252,627,LR,0.37,0.29
0.37,0.2993,0.443,0.3573,0.3003,0.4591,0.3631,62074.0,94908.0,28497.0,0.4753,0.5862,0.5249,6718.0,15725.0,8447.0,55817.0,0.1749,0.2588,221,156,244,635,LR,0.37,0.31
0.37,0.3061,0.3844,0.3408,0.3055,0.4016,0.347,62074.0,81595.0,24929.0,0.483,0.565,0.5208,5830.0,13217.0,9335.0,58325.0,0.1749,0.2197,213,164,228,651,LR,0.37,0.33
0.37,0.3156,0.3242,0.3198,0.3145,0.3434,0.3283,62074.0,67771.0,21315.0,0.4854,0.5305,0.507,4916.0,10661.0,10249.0,60881.0,0.1749,0.1797,200,177,212,667,LR,0.37,0.35
0.37,0.3263,0.2659,0.293,0.3243,0.2852,0.3035,62074.0,54582.0,17701.0,0.5013,0.496,0.4987,4033.0,8327.0,11132.0,63215.0,0.1749,0.1425,187,190,186,693,LR,0.37,0.37
0.37,0.3427,0.2134,0.263,0.3389,0.2299,0.274,62074.0,42105.0,14271.0,0.5174,0.435,0.4726,3236.0,6208.0,11929.0,65334.0,0.1749,0.1089,164,213,153,726,LR,0.37,0.39
0.39,0.238,0.8541,0.3723,0.2402,0.8495,0.3745,62074.0,219513.0,52733.0,0.4583,0.7719,0.5751,12952.0,41460.0,2213.0,30082.0,0.1749,0.6275,291,86,344,535,LR,0.39,0.05
0.39,0.2479,0.8276,0.3816,0.2501,0.8235,0.3837,62074.0,204348.0,51116.0,0.4583,0.7719,0.5751,12551.0,38072.0,2614.0,33470.0,0.1749,0.5838,291,86,344,535,LR,0.39,0.07
0.39,0.2555,0.802,0.3875,0.2579,0.798,0.3898,62074.0,192098.0,49534.0,0.4581,0.7692,0.5743,12162.0,35444.0,3003.0,36098.0,0.1749,0.549,290,87,343,536,LR,0.39,0.09
0.39,0.2615,0.7794,0.3916,0.2641,0.7757,0.3941,62074.0,182307.0,48151.0,0.4605,0.7586,0.5731,11820.0,33387.0,3345.0,38155.0,0.1749,0.5214,286,91,335,544,LR,0.39,0.11
0.39,0.2656,0.7557,0.3931,0.2682,0.7525,0.3955,62074.0,174162.0,46711.0,0.4692,0.748,0.5767,11460.0,31684.0,3705.0,39858.0,0.1749,0.4976,282,95,319,560,LR,0.39,0.13
0.39,0.2691,0.7339,0.3938,0.2717,0.7307,0.3962,62074.0,166923.0,45360.0,0.4782,0.7268,0.5768,11130.0,30224.0,4035.0,41318.0,0.1749,0.4769,274,103,299,580,LR,0.39,0.15
0.39,0.2723,0.7119,0.394,0.2754,0.7103,0.3969,62074.0,160111.0,44092.0,0.4794,0.7109,0.5726,10796.0,28845.0,4369.0,42697.0,0.1749,0.4572,268,109,291,588,LR,0.39,0.17
0.39,0.2764,0.6899,0.3947,0.2792,0.6884,0.3973,62074.0,153038.0,42731.0,0.4897,0.6923,0.5736,10462.0,27389.0,4703.0,44153.0,0.1749,0.4365,261,116,272,607,LR,0.39,0.19
0.39,0.2789,0.6614,0.3924,0.2817,0.6615,0.3951,62074.0,145786.0,41064.0,0.4932,0.6764,0.5705,10030.0,25930.0,5135.0,45612.0,0.1749,0.4147,255,122,262,617,LR,0.39,0.21
0.39,0.2814,0.6274,0.3885,0.284,0.6291,0.3913,62074.0,137484.0,39048.0,0.4939,0.6472,0.5603,9514.0,24296.0,5651.0,47246.0,0.1749,0.3899,244,133,250,629,LR,0.39,0.23
0.39,0.285,0.5893,0.3842,0.2879,0.5951,0.3881,62074.0,128288.0,36938.0,0.4906,0.6207,0.548,8937.0,22418.0,6228.0,49124.0,0.1749,0.3616,234,143,243,636,LR,0.39,0.25
0.39,0.2891,0.5449,0.3778,0.2913,0.5537,0.3817,62074.0,118003.0,34370.0,0.4936,0.6127,0.5467,8263.0,20320.0,6902.0,51222.0,0.1749,0.3297,231,146,237,642,LR,0.39,0.27
0.39,0.2949,0.4977,0.3704,0.2969,0.5106,0.3755,62074.0,106763.0,31695.0,0.489,0.5915,0.5354,7547.0,18042.0,7618.0,53500.0,0.1749,0.2951,223,154,233,646,LR,0.39,0.29
0.39,0.3009,0.4419,0.358,0.3021,0.4575,0.3639,62074.0,94006.0,28398.0,0.4853,0.5676,0.5232,6702.0,15571.0,8463.0,55971.0,0.1749,0.2569,214,163,227,652,LR,0.39,0.31
0.39,0.3072,0.3841,0.3414,0.3068,0.4011,0.3477,62074.0,81140.0,24895.0,0.4905,0.5464,0.5169,5825.0,13138.0,9340.0,58404.0,0.1749,0.2187,206,171,214,665,LR,0.39,0.33
0.39,0.3161,0.324,0.32,0.3151,0.343,0.3285,62074.0,67560.0,21290.0,0.4912,0.5172,0.5039,4913.0,10628.0,10252.0,60914.0,0.1749,0.1792,195,182,202,677,LR,0.39,0.35
0.39,0.3264,0.2658,0.293,0.3244,0.2848,0.3033,62074.0,54502.0,17680.0,0.5041,0.4881,0.496,4031.0,8317.0,11134.0,63225.0,0.1749,0.1424,184,193,181,698,LR,0.39,0.37
0.39,0.3427,0.2133,0.2629,0.3389,0.2297,0.2738,62074.0,42078.0,14259.0,0.5159,0.4297,0.4689,3235.0,6206.0,11930.0,65336.0,0.1749,0.1089,162,215,152,727,LR,0.39,0.39
0.41,0.2394,0.8388,0.3725,0.2413,0.8335,0.3743,62074.0,214394.0,51741.0,0.4707,0.7454,0.577,12720.0,40413.0,2445.0,31129.0,0.1749,0.6128,281,96,316,563,LR,0.41,0.05
0.41,0.2493,0.8135,0.3816,0.2513,0.8085,0.3834,62074.0,199742.0,50186.0,0.4707,0.7454,0.577,12336.0,37149.0,2829.0,34393.0,0.1749,0.5707,281,96,316,563,LR,0.41,0.07
0.41,0.257,0.7892,0.3878,0.2591,0.7844,0.3895,62074.0,187929.0,48692.0,0.4706,0.7427,0.5761,11968.0,34595.0,3197.0,36947.0,0.1749,0.537,280,97,315,564,LR,0.41,0.09
0.41,0.2631,0.7672,0.3919,0.2655,0.7628,0.3939,62074.0,178362.0,47353.0,0.4736,0.7374,0.5768,11635.0,32580.0,3530.0,38962.0,0.1749,0.5099,278,99,309,570,LR,0.41,0.11
0.41,0.2674,0.7436,0.3933,0.2696,0.7398,0.3952,62074.0,170314.0,45924.0,0.4782,0.7268,0.5768,11277.0,30901.0,3888.0,40641.0,0.1749,0.4864,274,103,299,580,LR,0.41,0.13
0.41,0.271,0.7221,0.3941,0.2733,0.7183,0.3959,62074.0,163148.0,44587.0,0.489,0.7082,0.5785,10950.0,29455.0,4215.0,42087.0,0.1749,0.466,267,110,279,600,LR,0.41,0.15
0.41,0.2744,0.7006,0.3943,0.2771,0.6982,0.3967,62074.0,156425.0,43343.0,0.4906,0.6923,0.5743,10625.0,28099.0,4540.0,43443.0,0.1749,0.4466,261,116,271,608,LR,0.41,0.17
0.41,0.2786,0.6791,0.3951,0.281,0.6767,0.3971,62074.0,149479.0,42007.0,0.502,0.6737,0.5753,10298.0,26672.0,4867.0,44870.0,0.1749,0.4264,254,123,252,627,LR,0.41,0.19
0.41,0.2809,0.6513,0.3926,0.2834,0.6506,0.3948,62074.0,142520.0,40388.0,0.5061,0.6578,0.5721,9877.0,25280.0,5288.0,46262.0,0.1749,0.4055,248,129,242,637,LR,0.41,0.21
0.41,0.2833,0.6181,0.3885,0.2856,0.6187,0.3908,62074.0,134472.0,38408.0,0.5075,0.6286,0.5616,9373.0,23712.0,5792.0,47830.0,0.1749,0.3816,237,140,230,649,LR,0.41,0.23
0.41,0.2867,0.5815,0.3841,0.2895,0.5863,0.3876,62074.0,125722.0,36396.0,0.5044,0.6021,0.549,8819.0,21937.0,6346.0,49605.0,0.1749,0.3547,227,150,223,656,LR,0.41,0.25
0.41,0.2906,0.5391,0.3777,0.2927,0.5469,0.3813,62074.0,115973.0,33949.0,0.5068,0.5942,0.547,8175.0,19954.0,6990.0,51588.0,0.1749,0.3244,224,153,218,661,LR,0.41,0.27
0.41,0.2965,0.4942,0.3706,0.2984,0.5064,0.3755,62074.0,105331.0,31434.0,0.5,0.5729,0.534,7495.0,17783.0,7670.0,53759.0,0.1749,0.2915,216,161,216,663,LR,0.41,0.29
0.41,0.3024,0.4404,0.3586,0.3038,0.4555,0.3645,62074.0,93089.0,28276.0,0.4964,0.5517,0.5226,6679.0,15405.0,8486.0,56137.0,0.1749,0.2547,208,169,211,668,LR,0.41,0.31
0.41,0.3083,0.3833,0.3417,0.3081,0.4001,0.3481,62074.0,80604.0,24835.0,0.5025,0.5332,0.5174,5812.0,13042.0,9353.0,58500.0,0.1749,0.2174,201,176,199,680,LR,0.41,0.33
0.41,0.3168,0.3238,0.3203,0.316,0.3428,0.3289,62074.0,67326.0,21277.0,0.5053,0.5093,0.5073,4910.0,10588.0,10255.0,60954.0,0.1749,0.1787,192,185,188,691,LR,0.41,0.35
0.41,0.3269,0.2657,0.2932,0.3249,0.2848,0.3035,62074.0,54399.0,17676.0,0.5156,0.4828,0.4986,4030.0,8299.0,11135.0,63243.0,0.1749,0.1422,182,195,171,708,LR,0.41,0.37
0.41,0.3429,0.2133,0.263,0.3392,0.2297,0.2739,62074.0,42042.0,14259.0,0.5227,0.4271,0.4701,3235.0,6200.0,11930.0,65342.0,0.1749,0.1088,161,216,147,732,LR,0.41,0.39
0.43,0.2411,0.8247,0.3732,0.2428,0.8193,0.3746,62074.0,209462.0,50857.0,0.4823,0.7215,0.5781,12506.0,39357.0,2659.0,32185.0,0.1749,0.5981,272,105,292,587,LR,0.43,0.05
0.43,0.251,0.8011,0.3822,0.2527,0.796,0.3836,62074.0,195542.0,49412.0,0.4823,0.7215,0.5781,12149.0,36253.0,3016.0,35289.0,0.1749,0.5582,272,105,292,587,LR,0.43,0.07
0.43,0.259,0.778,0.3886,0.2608,0.7731,0.39,62074.0,184025.0,47990.0,0.4822,0.7188,0.5772,11799.0,33760.0,3366.0,37782.0,0.1749,0.5254,271,106,291,588,LR,0.43,0.09
0.43,0.2653,0.7566,0.3929,0.2673,0.752,0.3945,62074.0,174608.0,46680.0,0.4838,0.7135,0.5766,11474.0,31770.0,3691.0,39772.0,0.1749,0.4987,269,108,287,592,LR,0.43,0.11
0.43,0.2697,0.7335,0.3944,0.2716,0.7295,0.3959,62074.0,166701.0,45284.0,0.4862,0.7029,0.5748,11123.0,30123.0,4042.0,41419.0,0.1749,0.4757,265,112,280,599,LR,0.43,0.13
0.43,0.2735,0.7128,0.3954,0.2755,0.7087,0.3968,62074.0,159681.0,43991.0,0.4971,0.687,0.5768,10809.0,28705.0,4356.0,42837.0,0.1749,0.4557,259,118,262,617,LR,0.43,0.15
0.43,0.2771,0.6922,0.3958,0.2794,0.6895,0.3977,62074.0,153159.0,42797.0,0.5,0.6737,0.574,10497.0,27384.0,4668.0,44158.0,0.1749,0.4369,254,123,254,625,LR,0.43,0.17
0.43,0.2814,0.6714,0.3966,0.2835,0.6687,0.3981,62074.0,146426.0,41506.0,0.5124,0.6552,0.5751,10182.0,25996.0,4983.0,45546.0,0.1749,0.4172,247,130,235,644,LR,0.43,0.19
0.43,0.2841,0.6448,0.3944,0.286,0.6437,0.3961,62074.0,139689.0,39955.0,0.5172,0.6393,0.5718,9779.0,24639.0,5386.0,46903.0,0.1749,0.3969,241,136,225,654,LR,0.43,0.21
0.43,0.2865,0.6125,0.3904,0.2884,0.6128,0.3922,62074.0,131882.0,38037.0,0.518,0.6101,0.5603,9289.0,23130.0,5876.0,48412.0,0.1749,0.3739,230,147,214,665,LR,0.43,0.23
0.43,0.2899,0.5768,0.3858,0.2923,0.581,0.3889,62074.0,123395.0,36064.0,0.5152,0.5836,0.5473,8747.0,21429.0,6418.0,50113.0,0.1749,0.348,220,157,207,672,LR,0.43,0.25
0.43,0.2935,0.5352,0.3791,0.2954,0.5426,0.3826,62074.0,114010.0,33684.0,0.519,0.5809,0.5482,8116.0,19532.0,7049.0,52010.0,0.1749,0.3189,219,158,203,676,LR,0.43,0.27
0.43,0.2989,0.491,0.3716,0.3007,0.5024,0.3762,62074.0,103723.0,31189.0,0.5121,0.5597,0.5349,7446.0,17462.0,7719.0,54080.0,0.1749,0.2873,211,166,201,678,LR,0.43,0.29
0.43,0.3044,0.4381,0.3592,0.3056,0.4527,0.3649,62074.0,91941.0,28100.0,0.51,0.5411,0.5251,6644.0,15186.0,8521.0,56356.0,0.1749,0.2518,204,173,196,683,LR,0.43,0.31
0.43,0.3096,0.382,0.342,0.3097,0.3988,0.3486,62074.0,79942.0,24755.0,0.5157,0.5225,0.5191,5793.0,12916.0,9372.0,58626.0,0.1749,0.2158,197,180,185,694,LR,0.43,0.33
0.43,0.3176,0.3232,0.3204,0.3171,0.3423,0.3292,62074.0,66999.0,21245.0,0.5165,0.4987,0.5074,4902.0,10531.0,10263.0,61011.0,0.1749,0.178,188,189,176,703,LR,0.43,0.35
0.43,0.3272,0.2656,0.2932,0.3254,0.2846,0.3037,62074.0,54288.0,17668.0,0.5234,0.4748,0.4979,4028.0,8281.0,11137.0,63261.0,0.1749,0.142,179,198,163,716,LR,0.43,0.37
0.43,0.3431,0.2133,0.2631,0.3394,0.2297,0.274,62074.0,42014.0,14259.0,0.5279,0.4271,0.4721,3235.0,6195.0,11930.0,65347.0,0.1749,0.1088,161,216,144,735,LR,0.43,0.39
0.45,0.2423,0.8146,0.3735,0.2438,0.8095,0.3748,62074.0,206095.0,50252.0,0.4889,0.7003,0.5758,12354.0,38628.0,2811.0,32914.0,0.1749,0.588,264,113,276,603,LR,0.45,0.05
0.45,0.2519,0.7911,0.3821,0.2534,0.7863,0.3833,62074.0,192599.0,48807.0,0.4889,0.7003,0.5758,11997.0,35636.0,3168.0,35906.0,0.1749,0.5494,264,113,276,603,LR,0.45,0.07
0.45,0.2599,0.7682,0.3884,0.2616,0.7634,0.3896,62074.0,181174.0,47388.0,0.4888,0.6976,0.5749,11649.0,33170.0,3516.0,38372.0,0.1749,0.5169,263,114,275,604,LR,0.45,0.09
0.45,0.2663,0.7467,0.3926,0.2682,0.7423,0.394,62074.0,171813.0,46078.0,0.4888,0.6923,0.573,11324.0,31192.0,3841.0,40350.0,0.1749,0.4903,261,116,273,606,LR,0.45,0.11
0.45,0.2708,0.7236,0.3941,0.2726,0.7199,0.3954,62074.0,163952.0,44688.0,0.4905,0.6817,0.5705,10974.0,29554.0,4191.0,41988.0,0.1749,0.4674,257,120,267,612,LR,0.45,0.13
0.45,0.2747,0.7031,0.395,0.2764,0.6992,0.3962,62074.0,156994.0,43400.0,0.501,0.6658,0.5718,10662.0,28155.0,4503.0,43387.0,0.1749,0.4477,251,126,250,629,LR,0.45,0.15
0.45,0.2784,0.6832,0.3956,0.2806,0.6805,0.3973,62074.0,150572.0,42244.0,0.5041,0.6525,0.5688,10361.0,26849.0,4804.0,44693.0,0.1749,0.4291,246,131,242,637,LR,0.45,0.17
0.45,0.2829,0.663,0.3966,0.2848,0.6606,0.398,62074.0,143998.0,41009.0,0.5162,0.634,0.569,10055.0,25484.0,5110.0,46058.0,0.1749,0.4099,239,138,224,655,LR,0.45,0.19
0.45,0.2857,0.6371,0.3944,0.2875,0.6363,0.396,62074.0,137379.0,39495.0,0.5213,0.618,0.5655,9661.0,24160.0,5504.0,47382.0,0.1749,0.3901,233,144,214,665,LR,0.45,0.21
0.45,0.2882,0.6057,0.3905,0.2899,0.6061,0.3922,62074.0,129747.0,37620.0,0.5224,0.5889,0.5536,9185.0,22689.0,5980.0,48853.0,0.1749,0.3676,222,155,203,676,LR,0.45,0.23
0.45,0.2916,0.5712,0.3861,0.2939,0.5752,0.389,62074.0,121489.0,35703.0,0.5196,0.5623,0.5401,8662.0,21041.0,6503.0,50501.0,0.1749,0.3426,212,165,196,683,LR,0.45,0.25
0.45,0.2951,0.5302,0.3792,0.2968,0.5372,0.3823,62074.0,112356.0,33346.0,0.5236,0.5597,0.541,8041.0,19206.0,7124.0,52336.0,0.1749,0.3142,211,166,192,687,LR,0.45,0.27
0.45,0.3003,0.487,0.3715,0.302,0.4979,0.376,62074.0,102329.0,30906.0,0.5165,0.5385,0.5273,7386.0,17207.0,7779.0,54335.0,0.1749,0.2836,203,174,190,689,LR,0.45,0.29
0.45,0.3052,0.4352,0.3588,0.3066,0.4493,0.3645,62074.0,90984.0,27892.0,0.5144,0.5199,0.5172,6600.0,15022.0,8565.0,56520.0,0.1749,0.2494,196,181,185,694,LR,0.45,0.31
0.45,0.31,0.3796,0.3413,0.3101,0.3961,0.3478,62074.0,79282.0,24585.0,0.5192,0.5013,0.5101,5756.0,12810.0,9409.0,58732.0,0.1749,0.2141,189,188,175,704,LR,0.45,0.33
0.45,0.3179,0.3218,0.3198,0.3175,0.3407,0.3287,62074.0,66597.0,21146.0,0.52,0.4828,0.5007,4880.0,10473.0,10285.0,61069.0,0.1749,0.1771,182,195,168,711,LR,0.45,0.35
0.45,0.3271,0.2647,0.2926,0.3253,0.2835,0.3029,62074.0,54102.0,17597.0,0.5273,0.4615,0.4922,4014.0,8258.0,11151.0,63284.0,0.1749,0.1415,174,203,156,723,LR,0.45,0.37
0.45,0.3431,0.2131,0.2629,0.3396,0.2295,0.2739,62074.0,41951.0,14245.0,0.5286,0.4164,0.4659,3232.0,6187.0,11933.0,65355.0,0.1749,0.1086,157,220,140,739,LR,0.45,0.39
0.47,0.2433,0.8006,0.3732,0.2448,0.7956,0.3743,62074.0,201766.0,49383.0,0.4971,0.6764,0.573,12141.0,37764.0,3024.0,33778.0,0.1749,0.5756,255,122,258,621,LR,0.47,0.05
0.47,0.2529,0.7794,0.3819,0.2544,0.7744,0.383,62074.0,188983.0,48073.0,0.4971,0.6764,0.573,11820.0,34917.0,3345.0,36625.0,0.1749,0.539,255,122,258,621,LR,0.47,0.07
0.47,0.2606,0.7569,0.3877,0.2623,0.7523,0.3889,62074.0,178045.0,46696.0,0.4971,0.6764,0.573,11478.0,32562.0,3687.0,38980.0,0.1749,0.5079,255,122,258,621,LR,0.47,0.09
0.47,0.2668,0.7358,0.3916,0.2686,0.7316,0.3929,62074.0,169070.0,45414.0,0.4971,0.6711,0.5711,11159.0,30663.0,4006.0,40879.0,0.1749,0.4823,253,124,256,623,LR,0.47,0.11
0.47,0.2711,0.7128,0.3928,0.2728,0.7093,0.3941,62074.0,161384.0,44031.0,0.499,0.6631,0.5695,10810.0,29066.0,4355.0,42476.0,0.1749,0.4599,250,127,251,628,LR,0.47,0.13
0.47,0.2748,0.6924,0.3935,0.2765,0.6886,0.3945,62074.0,154622.0,42747.0,0.5083,0.6499,0.5704,10501.0,27711.0,4664.0,43831.0,0.1749,0.4407,245,132,237,642,LR,0.47,0.15
0.47,0.2784,0.6727,0.3938,0.2804,0.6701,0.3954,62074.0,148342.0,41596.0,0.5117,0.6393,0.5684,10201.0,26436.0,4964.0,45106.0,0.1749,0.4225,241,136,230,649,LR,0.47,0.17
0.47,0.2829,0.6526,0.3947,0.2846,0.6503,0.3959,62074.0,141859.0,40369.0,0.5235,0.6207,0.568,9897.0,25093.0,5268.0,46449.0,0.1749,0.4035,234,143,213,666,LR,0.47,0.19
0.47,0.2856,0.6272,0.3924,0.2873,0.6265,0.3939,62074.0,135371.0,38887.0,0.529,0.6048,0.5644,9511.0,23794.0,5654.0,47748.0,0.1749,0.3841,228,149,203,676,LR,0.47,0.21
0.47,0.2882,0.5967,0.3887,0.2897,0.5969,0.3901,62074.0,127888.0,37051.0,0.528,0.5756,0.5508,9049.0,22351.0,6116.0,49191.0,0.1749,0.3621,217,160,194,685,LR,0.47,0.23
0.47,0.2918,0.5637,0.3846,0.2938,0.5673,0.3872,62074.0,119846.0,35216.0,0.5254,0.5491,0.537,8549.0,20747.0,6616.0,50795.0,0.1749,0.3379,207,170,187,692,LR,0.47,0.25
