threshold,token_precision,token_recall,token_f1,token_auroc,token_pr_auc,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,n_pred_spans,avg_pred_span_len
0.02,0.17838712343973265,0.9961094625783053,0.3025859824129159,0.6994703827400888,0.2996233296882518,0.17993307719461,0.9936205174469182,0.30469029805585673,0.3001592356687898,1.0,0.46172688303735454,15106,69575,59,1967,0.1748993737529842,0.9766339511227468,2618,130.93
0.03,0.20300772626931568,0.9702604681833168,0.3357635917622226,0.6994703827400888,0.2996233296882518,0.20516712130224035,0.9669104617069949,0.33850700476007844,0.31094527363184077,0.9946949602122016,0.4737839545167404,14714,57766,451,13776,0.1748993737529842,0.835918668619604,3285,89.05
0.04,0.21769149418341138,0.9501483679525222,0.3542253088316637,0.6994703827400888,0.2996233296882518,0.22016430059813813,0.9463865708670297,0.35722494846489233,0.343311506080449,0.9734748010610079,0.5076071922544951,14409,51781,756,19761,0.1748993737529842,0.7633755060145087,2946,90.57
0.05,0.22575430172068828,0.9300362677217276,0.36331787738279236,0.6994703827400888,0.2996233296882518,0.2282653170671635,0.9256854721783677,0.36622339493248945,0.36327345309381237,0.9655172413793104,0.5279187817258884,14104,48371,1061,23171,0.1748993737529842,0.7205300610100684,2753,91.44
0.06,0.23116174797564076,0.9111111111111111,0.3687630943325727,0.6994703827400888,0.2996233296882518,0.23350641797864827,0.9055643264490769,0.3712764692672487,0.3702171664943123,0.9496021220159151,0.5327380952380952,13817,45955,1348,25587,0.1748993737529842,0.6893561073500409,2643,91.08
0.07,0.2356938545549103,0.8965380811078141,0.37326012354152366,0.6994703827400888,0.2996233296882518,0.2383049621574148,0.891726004446306,0.37610072294395824,0.3776595744680851,0.9416445623342176,0.5391040242976461,13596,44089,1569,27453,0.1748993737529842,0.665286539725743,2621,88.62
0.08,0.23899674639779755,0.8815694032311243,0.3760460177488995,0.6994703827400888,0.2996233296882518,0.24152482143491702,0.8759545059122982,0.37864638825634916,0.3851203501094092,0.9336870026525199,0.5453137103020914,13369,42569,1796,28973,0.1748993737529842,0.645138224134153,2616,86.06
0.09,0.24191860785285532,0.8690405539070227,0.37847850435082275,0.6994703827400888,0.2996233296882518,0.24479953276784858,0.8643071173115958,0.38153585765742054,0.3888268156424581,0.9230769230769231,0.5471698113207547,13179,41298,1986,30244,0.1748993737529842,0.628288373487723,2548,86.01
0.1,0.24496745306091733,0.8586218265743488,0.3811823943558893,0.6994703827400888,0.2996233296882518,0.24782492835470615,0.8539807326739053,0.38416523235800343,0.3900226757369615,0.9124668435013262,0.5464654487688642,13021,40133,2144,31409,0.1748993737529842,0.6130300898428039,2526,84.68
0.11,0.2467117914006615,0.8460270359380152,0.38202146823683547,0.6994703827400888,0.2996233296882518,0.2498613077246815,0.84165673228727,0.385330235645536,0.3923611111111111,0.8992042440318302,0.5463336019339242,12830,39174,2335,32368,0.1748993737529842,0.5997670314968803,2510,83.31
0.12,0.2484483029541169,0.8340916584240027,0.3828563645443952,0.6994703827400888,0.2996233296882518,0.25161217884567505,0.8303315397751071,0.3861966649308222,0.397887323943662,0.8992042440318302,0.5516680227827502,12649,38263,2516,33279,0.1748993737529842,0.5871728926153598,2524,81.16
0.13,0.24989468193945716,0.8214309264754368,0.3832097702033408,0.6994703827400888,0.2996233296882518,0.2529450457453806,0.8177336727132133,0.38637488106565177,0.3971462544589774,0.8859416445623343,0.548440065681445,12457,37392,2708,34150,0.1748993737529842,0.5749132134660409,2538,79.07
0.14,0.2513001105605831,0.8093636663369601,0.38352055243957694,0.6994703827400888,0.2996233296882518,0.2544092898869778,0.8061185037213648,0.38675843732247134,0.400726392251816,0.8779840848806366,0.5502909393183707,12274,36568,2891,34974,0.1748993737529842,0.5632993875926973,2547,77.22
0.15,0.2527520731936582,0.7978898780085724,0.38389542815444655,0.6994703827400888,0.2996233296882518,0.2557378918560292,0.7948416406224829,0.3869695139645963,0.4009840098400984,0.8647214854111406,0.5478991596638656,12100,35773,3065,35769,0.1748993737529842,0.5521238192994798,2598,74.26
0.16,0.25405844155844154,0.784305967688757,0.38379503396202064,0.6994703827400888,0.2996233296882518,0.25689977393412855,0.7817121500144988,0.386711667735907,0.40074441687344914,0.8567639257294429,0.5460693153000845,11894,34922,3271,36620,0.1748993737529842,0.5399333387154439,2645,71.41
0.17,0.25578246150485967,0.7722387075502802,0.3842821985233798,0.6994703827400888,0.2996233296882518,0.2590849333744502,0.7714824242033702,0.3879018115692572,0.4005006257822278,0.8488063660477454,0.54421768707483,11711,34074,3454,37468,0.1748993737529842,0.5280427185809681,2764,66.87
0.18,0.2577830611878701,0.7578635014836795,0.3847093675207953,0.6994703827400888,0.2996233296882518,0.26111348489809055,0.7580468473112736,0.3884300590631617,0.40025412960609913,0.8355437665782494,0.5412371134020618,11493,33091,3672,38451,0.1748993737529842,0.5141914724301383,2863,62.94
0.19,0.2602995391705069,0.7449390042861853,0.3857935627081021,0.6994703827400888,0.2996233296882518,0.2632361062873996,0.7448206978767278,0.3889933574803017,0.4064935064935065,0.830238726790451,0.5457715780296426,11297,32103,3868,39439,0.1748993737529842,0.5005362888809438,2991,58.72
