source_model,n_samples,n_tokens,token_f1,token_prec,token_rec,auroc
Llama-2-7b-chat-hf,275,24675,0.3441833590138675,0.38380584192439865,0.3119762569832402,0
Llama-3.1-8B-Instruct,275,13323,0.05904059040590406,0.055944055944055944,0.0625,0
Mistral-7B-Instruct-v0.1,275,13712,0.2907801418439716,0.363905325443787,0.2421259842519685,0
Mistral-7B-Instruct-v0.3,275,16800,0.25334382376081827,0.24807395993836673,0.25884244372990356,0
