group,n_samples,char_f1,token_f1,auroc
Q1(short),276,0.22282120395327942,0.22282120395327942,0.7973815725960819
Q2,279,0.14278481012658228,0.14278481012658228,0.7634891142418536
Q3,275,0.23115577889447236,0.23115577889447236,0.7412394495198146
Q4(long),275,0.36947079159648966,0.36947079159648966,0.732749051346794
