name,n_samples,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,TP,FP,FN,TN,total_gold_chars,total_pred_chars,total_overlap_chars,mean_answer_len,median_answer_len,Q1_answer_len,Q3_answer_len,min_answer_len,max_answer_len,mean_max_prob,source_models
A_gold_pos_pred_pos,309,0.462,0.8187,0.5907,0.8354,0.3622,0.5053,11069,12888,2452,5431,55259,23957,20013,420.1,335.0,170.0,557.0,65,1930,0.3966,"{""unknown"": 309}"
B_gold_pos_pred_zero,68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1644,3039,6827,0,0,283.1,248.5,146.5,371.0,74,773,0.1059,"{""unknown"": 68}"
C_gold_zero_pred_pos,453,0.0,0.0,0.0,0.0,0.0,0.0,0,18168,0,7028,0,18168,0,222.2,156.0,108.0,289.0,43,1452,0.3539,"{""unknown"": 453}"
D_gold_zero_pred_zero,426,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24988,0,0,0,240.4,223.5,150.0,316.75,20,903,0.0658,"{""unknown"": 426}"
