experiment_id,route,model,input_strategy,train_size,dev_size,seed,encoder_freeze,encoder_lr,classifier_lr,class_weight,loss,threshold,epochs,dev_primary_metric,dev_macro_f1,dev_positive_f1,dev_negative_f1,dev_span_f1,dev_answer_f1,predicted_positive_count,predicted_negative_count,checkpoint_path,exit_code,notes
exp_001,B,SimpleMILClassifier,question+answer+chunks,300,100,42,False,N/A,2e-5,balanced,0.3646,0.5,5,macro_f1,0.5175,0.6912,0.3438,N/A,N/A,64,28,results/overnight_autorun/experiments/claim_mil_faithfulness_v1/best_model.pt,0,Faithfulness classification
exp_002,B,SimpleMILClassifier,question+answer+chunks,400,150,42,False,N/A,2e-5,balanced,0.1502,0.5,5,macro_f1,0.5997,0.9386,0.2609,N/A,N/A,133,16,results/overnight_autorun/experiments/claim_mil_relevancy_v1/best_model.pt,0,Relevancy classification
exp_003,B,SimpleMILClassifier,question+answer+chunks,400,150,42,False,N/A,2e-5,balanced,0.3674,0.5,5,macro_f1,0.5816,0.8103,0.3529,N/A,N/A,122,40,results/overnight_autorun/experiments/claim_mil_reliability_v1/best_model.pt,0,Reliability classification
