epoch,train_loss,valid_tokens,train_pos_rate,auroc,pr_auc,token_acc,pos_prec,pos_recall,pos_f1,macro_f1,char_prec,char_recall,char_f1,num_gold_chars,num_pred_chars,num_overlap_chars,ans_acc,unfaithful_prec,unfaithful_recall,unfaithful_f1,pred_pos_rate,stopped_early,checkpoint_path
1,0.526169,1319961,0.191,0.939947,0.827829,0.787233,0.477087,0.938864,0.632677,0.741461,0.476589,0.940256,0.632554,207467,409309,195072,0.791036,0.629227,0.90925,0.743754,0.384069,False,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_span_fixed_max10/checkpoints/epoch_0_checkpoint.pt
2,0.306659,1319961,0.191,0.978655,0.932698,0.868092,0.600632,0.967281,0.741087,0.826295,0.59816,0.966004,0.738829,207467,335051,200414,0.87078,0.75,0.918848,0.825882,0.314303,False,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_span_fixed_max10/checkpoints/epoch_1_checkpoint.pt
3,0.183659,1319961,0.191,0.991282,0.968903,0.950042,0.811754,0.968656,0.883292,0.925755,0.809787,0.967609,0.881691,207467,247901,200747,0.945867,0.921053,0.91623,0.918635,0.232889,False,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_span_fixed_max10/checkpoints/epoch_2_checkpoint.pt
4,0.12036,1319961,0.191,0.996701,0.987403,0.975002,0.906484,0.972211,0.938198,0.961265,0.90637,0.971682,0.93789,207467,222417,201592,0.963329,0.966179,0.922339,0.94375,0.209317,False,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_span_fixed_max10/checkpoints/epoch_3_checkpoint.pt
