method,target,split,variant,threshold,accuracy,f1_macro,precision_negative,recall_negative,f1_negative,precision_positive,recall_positive,f1_positive
tfidf_logistic_selected,relevancy,validation,question_answer,0.72,0.8482758620689655,0.6511373578302713,0.4,0.3783783783783784,0.3888888888888889,0.9098039215686274,0.9169960474308301,0.9133858267716536
tfidf_logistic_selected,relevancy,test,question_answer,0.72,0.8310344827586207,0.596982330752432,0.3125,0.2702702702702703,0.2898550724637681,0.8953488372093024,0.9130434782608695,0.9041095890410958
tfidf_logistic_selected,faithfulness,validation,question_answer,0.54,0.6862068965517242,0.6057604684862337,0.4146341463414634,0.44155844155844154,0.4276729559748428,0.7932692307692307,0.7746478873239436,0.7838479809976246
tfidf_logistic_selected,faithfulness,test,question_answer,0.54,0.6724137931034483,0.6060853029068187,0.40425531914893614,0.4935064935064935,0.4444444444444444,0.8010204081632653,0.7370892018779343,0.7677261613691931
tfidf_logistic_selected,reliability,validation,question_answer,0.51,0.6793103448275862,0.6002016039372063,0.425,0.41975308641975306,0.422360248447205,0.7761904761904762,0.7799043062200957,0.7780429594272077
tfidf_logistic_selected,reliability,test,question_answer,0.51,0.6827586206896552,0.6172166427546628,0.43820224719101125,0.48148148148148145,0.4588235294117647,0.7910447761194029,0.7607655502392344,0.775609756097561
