method,target,split,accuracy,f1_macro,precision_negative,recall_negative,f1_negative,precision_positive,recall_positive,f1_positive
tfidf_direct,reliability,validation,0.6793103448275862,0.6002016039372063,0.425,0.41975308641975306,0.422360248447205,0.7761904761904762,0.7799043062200957,0.7780429594272077
tfidf_decomposed,reliability,validation,0.6620689655172414,0.5977011494252873,0.40860215053763443,0.4691358024691358,0.4367816091954023,0.7817258883248731,0.7368421052631579,0.7586206896551724
tfidf_direct,reliability,test,0.6827586206896552,0.6172166427546628,0.43820224719101125,0.48148148148148145,0.4588235294117647,0.7910447761194029,0.7607655502392344,0.775609756097561
tfidf_decomposed,reliability,test,0.6620689655172414,0.6076536528797836,0.4158415841584158,0.5185185185185185,0.46153846153846156,0.7936507936507936,0.7177033492822966,0.7537688442211056
