split,rows,proportion,dialog_groups,relevancy_positive_rate,faithfulness_positive_rate,reliability_positive_rate,label_0_0,label_0_1,label_1_0,label_1_1,top_5_rows,top_8_rows
all,2030,1.0,1940,0.8733990147783252,0.7315270935960592,0.7192118226600985,232,25,313,1460,1670,360
train,1450,0.7142857142857143,1385,0.8737931034482759,0.7303448275862069,0.7186206896551725,166,17,225,1042,1194,256
val,290,0.14285714285714285,277,0.8724137931034482,0.7344827586206897,0.7206896551724138,33,4,44,209,237,53
test,290,0.14285714285714285,278,0.8724137931034482,0.7344827586206897,0.7206896551724138,33,4,44,209,239,51
