epoch,train_loss,valid_tokens,train_pos_rate,auroc,pr_auc,token_acc,pos_prec,pos_recall,pos_f1,macro_f1,char_prec,char_recall,char_f1,ans_acc,ans_macro_f1,unfaithful_prec,unfaithful_recall,unfaithful_f1,pred_pos_rate,checkpoint_path
1,0.525104,1319961,0.191,0.937273,0.816584,0.785451,0.47477,0.934445,0.629636,0.739311,0.0,0.0,0.0,0.785506,0.740584,0.620649,0.917976,0.740584,0.384127,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_day1/checkpoints/epoch_0_checkpoint.pt
2,0.305066,1319961,0.191,0.974893,0.923914,0.868188,0.601836,0.95921,0.739616,0.825687,0.0,0.0,0.0,0.85943,0.810067,0.737294,0.898778,0.810067,0.311057,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_day1/checkpoints/epoch_1_checkpoint.pt
3,0.203771,1319961,0.191,0.981195,0.9415,0.906915,0.688376,0.955675,0.800296,0.869805,0.0,0.0,0.0,0.896391,0.850294,0.820617,0.882199,0.850294,0.27095,/home/ma-user/work/assessing-reliability-of-responses-in-rag/results/token_level/full_run_day1/checkpoints/epoch_2_checkpoint.pt
