split,role,column,mean_characters,median_characters,p95_characters,p99_characters,max_characters,mean_whitespace_tokens,median_whitespace_tokens,p95_whitespace_tokens,max_whitespace_tokens
train,question,question,69.74068965517242,57.5,160.0999999999999,242.51,653,10.78,9.0,25.0,92
train,answer,answer,425.9855172413793,415.5,603.0,800.0999999999999,1124,60.52137931034483,59.0,87.0,167
train,context,chunk_1,5236.131724137931,5446.5,8591.15,9289.71,10191,818.2662068965517,856.5,1309.55,1595
validation,question,question,72.07586206896552,61.5,158.20000000000005,218.43000000000018,329,11.148275862068965,10.0,25.0,55
validation,answer,answer,424.33103448275864,423.0,601.75,692.2800000000007,905,60.2,59.0,86.10000000000002,130
validation,context,chunk_1,5477.003448275862,5730.5,8937.4,9325.1,9495,850.5,891.5,1360.0,1483
test,question,question,73.90344827586208,60.5,180.85000000000008,288.22,418,11.386206896551725,9.0,29.55000000000001,64
test,answer,answer,425.8034482758621,415.0,615.2500000000007,853.44,976,60.5551724137931,58.0,89.55000000000001,146
test,context,chunk_1,5580.165517241379,6061.0,8679.75,9150.28,9629,873.5,961.0,1296.65,1421
